year,month,day,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,4,8,0.614,0.336,0.238,0.52,1.398,0.874,1.032,-0.529,0.516,-0.651,-0.913,-0.376,-0.542,-0.369,-0.202,-0.055,0.17
1988,4,9,0.249,-0.031,0.117,0.02,0.013,-0.682,0.133,-0.788,0.501,0.464,0.545,1.28,1.039,0.367,0.816,0.384,-0.033
1988,4,10,0.014,-0.047,0.222,0.112,0.263,-0.452,0.439,-0.566,0.805,1.091,1.205,2.121,1.72,0.672,0.744,0.381,-0.001
1988,4,11,0.262,0.064,0.389,0.216,0.384,-0.334,0.355,-0.467,1.106,1.575,1.869,2.408,2.4,1.163,1.452,0.734,0.774
1988,4,12,0.107,0.071,0.274,0.289,0.377,-0.377,0.156,-0.632,0.303,0.452,0.729,0.948,0.934,0.106,0.367,0.029,0.066
1988,4,13,0.045,0.012,0.333,0.61,0.544,-0.045,0.2,-0.414,0.056,0.155,0.451,0.715,0.565,-0.055,0.317,-0.034,-0.222
1988,4,14,0.112,-0.208,0.023,0.118,-0.023,-0.102,-0.344,-0.137,0.542,0.437,0.639,1.432,1.179,0.41,0.721,0.364,0.412
1988,4,15,0.169,-0.097,0.065,0.133,0.319,0.262,0.243,0.753,2.091,1.173,0.668,0.869,0.712,0.175,0.456,0.133,0.387
1988,4,16,0.405,0.182,0.336,0.612,1.226,1.075,0.375,0.811,1.683,1.064,0.318,0.698,0.466,0.199,0.447,0.162,0.29
1988,4,17,0.47,0.322,0.366,0.582,0.871,0.658,0.045,0.235,0.648,0.357,0.055,0.394,0.203,-0.025,0.329,0.098,0.143
1988,4,18,0.743,0.432,0.297,0.321,0.236,-0.154,-0.402,-0.308,-0.241,-0.687,-0.633,0.037,-0.579,-0.544,-0.423,-0.314,-0.187
1988,4,19,0.205,0.118,0.175,-0.201,-0.324,-0.798,-1.008,-0.964,-1.11,-1.385,-1.156,-0.231,-0.319,-0.311,-0.059,-0.08,-0.057
1988,4,20,-0.389,-0.294,-0.131,-0.114,-0.329,-0.434,-0.402,-0.231,-0.132,0.129,0.55,0.745,0.605,0.315,0.445,0.382,0.279
1988,4,21,-0.048,0.023,0.021,0.158,0.373,0.315,0.143,0.459,0.941,0.592,0.676,0.902,0.606,0.337,0.788,0.663,0.707
1988,4,22,0.162,0.404,0.407,0.524,0.446,0.174,-0.245,-0.057,0.703,0.108,0.25,0.509,-0.014,-0.153,0.008,-0.001,-0.02
1988,4,23,0.325,0.34,0.287,0.423,0.433,0.325,-0.042,-0.066,0.525,0.178,0.512,0.964,0.802,0.506,0.695,0.413,0.618
1988,4,24,0.386,0.506,0.395,0.379,0.859,0.53,-0.024,-0.151,0.58,0.081,0.187,0.451,-0.069,-0.336,-0.107,-0.043,0.116
1988,4,25,0.197,0.276,0.342,0.446,1.155,0.998,0.52,0.317,0.805,0.293,0.145,0.338,-0.207,-0.432,-0.325,-0.244,-0.36
1988,4,26,0.202,0.401,0.538,0.326,0.519,0.754,0.287,0.045,0.49,0.247,0.145,0.52,-0.011,-0.159,-0.138,-0.087,-0.101
1988,4,27,0.152,0.147,0.335,0.099,0.041,-0.015,-0.111,-0.325,0.166,0.199,0.086,0.535,-0.016,-0.149,-0.124,-0.151,-0.269
1988,4,28,0.089,0.071,0.41,0.069,-0.071,-0.065,-0.313,-0.53,-0.591,-0.774,-1.496,-0.613,-1.061,-1.042,-1.056,-0.943,-0.983
1988,4,29,0.807,0.441,0.614,0.575,0.511,0.411,0.073,-0.044,0.214,0.256,-0.158,0.058,-0.667,-0.695,-0.709,-0.175,-0.389
1988,4,30,1.465,1.146,1.293,3.291,3.545,3.251,2.096,2.066,2.647,1.717,0.878,1.007,0.404,-0.049,0.155,0.306,0.124
1988,5,1,2.722,2.374,2.889,2.849,3.303,4.293,3.478,3.117,3.619,2.115,0.807,0.9,0.453,-0.039,0.084,0.117,0.033
1988,5,2,0.152,0.225,0.142,0.784,2.041,2.403,2.199,1.745,2.771,1.279,0.068,0.502,-0.162,-0.649,-0.694,-0.326,-0.523
1988,5,3,0.151,0.258,0.296,1.149,2.769,2.982,2.364,1.313,2.761,1.81,0.522,0.776,0.234,-0.081,0.42,0.417,0.258
1988,5,4,0.549,0.559,1.016,1.433,2.715,2.578,2.133,2.143,3.65,2.327,1.08,1.317,0.7,0.08,0.424,0.299,0.432
